st,name, pop_2020 ,col,row
AN,Andaman and Nicobar Islands,417036,7,7
AP,Andhra Pradesh,53903393,5,5
AR,Arunachal Pradesh,1570458,9,2
AS,Assam,35607039,7,2
BR,Bihar,124799926,6,3
CH,Chandigarh,1158473,3,3
CT,Chhattisgarh,29436231,5,4
DN,Dadra and Nagar Haveli and Daman and Diu,615724,2,5
DL,Delhi,18710922,3,4
GA,Goa,1586250,3,6
GJ,Gujarat,63872399,1,4
HR,Haryana,28204692,2,3
HP,Himachal Pradesh,7451955,4,2
JK,Jammu and Kashmir,13606320,3,1
JH,Jharkhand,38593948,6,4
KA,Karnataka,67562686,4,6
KL,Kerala,35699443,4,7
LA,Ladakh,289023,4,1
LD,Lakshadweep,73183,3,7
MP,Madhya Pradesh,85358965,4,4
MH,Maharashtra,123144223,3,5
MN,Manipur,3091545,9,3
ML,Meghalaya,3366710,8,3
MZ,Mizoram,1239244,9,4
NL,Nagaland,2249695,8,2
OR,Odisha,46356334,6,5
PY,Puducherry,1413542,5,6
PB,Punjab,30141373,3,2
RJ,Rajasthan,81032689,2,4
SK,Sikkim,690251,7,3
TN,Tamil Nadu,77841267,4,8
TG,Telangana,38510982,4,5
TR,Tripura,4169794,8,4
UP,Uttar Pradesh,237882725,5,3
UT,Uttarakhand,11250858,4,3
WB,West Bengal,99609303,7,4
